카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AO9571,1366920,120.0,210.0
핸디/스틱청소기,샤오미,드리미 V10,148710,60.0,220.0
핸디/스틱청소기,LG전자,코드제로 A9 A9100S,484430,40.0,
핸디/스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,159930,45.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9700,905630,120.0,200.0
핸디/스틱청소기,삼성전자,제트 VS20T9213QDCSB,768720,60.0,200.0
핸디/스틱청소기,샤오미,드리미 V11,251090,90.0,250.0
핸디/스틱청소기,삼성전자,제트 VS20T9213QDCSW,631720,60.0,200.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9470,831950,120.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9400,736010,120.0,200.0
핸디/스틱청소기,다이슨,옴니 글라이드 컴플리트+,569590,20.0,50.0
핸디/스틱청소기,다이슨,V10 카본파이버,632810,60.0,160.0
핸디/스틱청소기,삼성전자,제트 VS15R8500BF,391510,40.0,150.0
핸디/스틱청소기,다이슨,디지털 슬림 플러피+,676840,40.0,100.0
핸디/스틱청소기,삼성전자,제트 VS20T9258SDCS,879270,120.0,200.0
핸디/스틱청소기,샤오미,드리미 V9,111240,60.0,200.0
핸디/스틱청소기,샤오미,드리미 V12,314400,90.0,270.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9500,780170,120.0,200.0
핸디/스틱청소기,일렉트로룩스,ZB3302AK,129000,42.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9570,903340,120.0,200.0
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ92-3BWF,405290,53.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9370,709100,60.0,200.0
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIB,218650,50.0,
핸디/스틱청소기,삼성전자,제트 VS20T9213QDCSP,633690,60.0,200.0
핸디/스틱청소기,다이슨,V8 카본파이버,479000,40.0,155.0
핸디/스틱청소기,삼성전자,제트 VS20T9278S3CS,817780,120.0,200.0
핸디/스틱청소기,다이슨,V11 플러피 엑스트라,871270,60.0,220.0
핸디/스틱청소기,다이슨,V11 220AW 컴플리트,871270,60.0,220.0
핸디/스틱청소기,DIBEA,D18,80630,45.0,90.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9300,696080,60.0,200.0
핸디/스틱청소기,삼성전자,VC-H22,29260,10.0,
핸디/스틱청소기,다이슨,V11 컴플리트,924080,60.0,185.0
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ92-3OBF,338320,53.0,
핸디/스틱청소기,시원코퍼레이션,SRV-2010C,59800,28.0,150.0
핸디/스틱청소기,다이슨,V8 플러피,456510,40.0,155.0
핸디/스틱청소기,샤오미,SHUNZAO Z11,159000,60.0,260.0
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2ESSF,248280,50.0,
핸디/스틱청소기,DIBEA,TSX-25000A,194030,45.0,250.0
핸디/스틱청소기,신일전자,LCYC913,27390,20.0,
핸디/스틱청소기,일렉트로룩스,라피도 ZB6114,78290,24.0,
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIBF,248580,50.0,
핸디/스틱청소기,다이슨,V11 220 에어와트 CF+,1196560,60.0,220.0
핸디/스틱청소기,샤오미,SHUNZAO Z11 PRO,198990,60.0,260.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9470IK,955940,120.0,200.0
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2BSWF,353740,50.0,
핸디/스틱청소기,다이슨,옴니 글라이드+,520290,20.0,50.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S 펫 A9700BPK,941610,120.0,200.0
핸디/스틱청소기,삼성전자,제트 VS20T9278S3,697090,120.0,200.0
핸디/스틱청소기,리하스,LH20,299000,120.0,330.0
핸디/스틱청소기,삼성전자,제트 VS15R8543S1CW,479000,40.0,150.0
핸디/스틱청소기,샤오미,CX-1,158810,25.0,120.0
핸디/스틱청소기,다이슨,V11 플러피,852570,60.0,185.0
핸디/스틱청소기,삼성전자,제트 VS20R9078S2,705810,120.0,200.0
핸디/스틱청소기,샤오미,TROUVER TECH SOLO10,94000,48.0,180.0
핸디/스틱청소기,DIBEA,DW200,66340,35.0,100.0
핸디/스틱청소기,다이슨,V10 앱솔루트 플러스,882800,60.0,
핸디/스틱청소기,DIBEA,M500 프로,158990,30.0,220.0
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ92-2OGF,366410,50.0,
핸디/스틱청소기,삼성전자,제트 VS20R9043SA,595850,60.0,200.0
핸디/스틱청소기,스위스밀리터리,에어슬림 SMA-BV2200,532390,30.0,170.0
핸디/스틱청소기,샤오미,드리미 V10P,235000,60.0,220.0
핸디/스틱청소기,기펠,ZET-10,189000,,
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ91-3BW,285750,55.0,
핸디/스틱청소기,일렉트로룩스,PURE Q9 PQ91-2OG,232190,50.0,
